block,block_Integer,block_Alphabet,block_alp_int
782,782,,0
388,388,,0
269C,269,C,3
674,674,,0
675,675,,0
845,845,,0
851,851,,0
785,785,,0
372,372,,0
673,673,,0
482,482,,0
836,836,,0
788,788,,0
189,189,,0
829,829,,0
843,843,,0
800,800,,0
629,629,,0
630,630,,0
676,676,,0
201D,201,D,4
761,761,,0
655,655,,0
794,794,,0
790,790,,0
689,689,,0
492,492,,0
748,748,,0
795,795,,0
796,796,,0
799,799,,0
196,196,,0
696,696,,0
849,849,,0
798,798,,0
791,791,,0
494,494,,0
897,897,,0
855,855,,0
802,802,,0
779,779,,0
190,190,,0
688,688,,0
658,658,,0
660,660,,0
687,687,,0
697,697,,0
827,827,,0
777,777,,0
743,743,,0
651,651,,0
647,647,,0
695,695,,0
698,698,,0
693,693,,0
694,694,,0
665,665,,0
828,828,,0
906,906,,0
653,653,,0
867,867,,0
667,667,,0
680,680,,0
763,763,,0
780,780,,0
671,671,,0
690,690,,0
883,883,,0
792,792,,0
192,192,,0
669,669,,0
977,977,,0
201E,201,E,5
944,944,,0
691,691,,0
917,917,,0
825,825,,0
895,895,,0
672,672,,0
650,650,,0
884,884,,0
821,821,,0
881,881,,0
885,885,,0
882,882,,0
393,393,,0
394,394,,0
666A,666,A,1
656,656,,0
399,399,,0
386,386,,0
391,391,,0
666,666,,0
652,652,,0
215A,215,A,1
862,862,,0
862A,862,A,1
864A,864,A,1
858A,858,A,1
863,863,,0
860,860,,0
659,659,,0
868,868,,0
857B,857,B,2
859,859,,0
859A,859,A,1
860A,860,A,1
858B,858,B,2
861,861,,0
397,397,,0
786,786,,0
787,787,,0
826,826,,0
877,877,,0
834,834,,0
876,876,,0
864,864,,0
678,678,,0
898,898,,0
878,878,,0
857A,857,A,1
489A,489,A,1
767,767,,0
872,872,,0
880,880,,0
874,874,,0
380,380,,0
677,677,,0
860B,860,B,2
870,870,,0
871,871,,0
865,865,,0
866,866,,0
879,879,,0
797,797,,0
875,875,,0
389,389,,0
850,850,,0
920,920,,0
387,387,,0
392,392,,0
904,904,,0
949,949,,0
867A,867,A,1
395,395,,0
396,396,,0
822,822,,0
863B,863,B,2
487A,487,A,1
886,886,,0
873,873,,0
670,670,,0
899,899,,0
898A,898,A,1
355A,355,A,1
692,692,,0
978,978,,0
897A,897,A,1
887,887,,0
863A,863,A,1
133A,133,A,1
939,939,,0
905,905,,0
927,927,,0
861A,861,A,1
894,894,,0
350A,350,A,1
679,679,,0
936,936,,0
919,919,,0
894A,894,A,1
899A,899,A,1
896,896,,0
886A,886,A,1
188,188,,0
923,923,,0
201A,201,A,1
888,888,,0
494C,494,C,3
895A,895,A,1
896A,896,A,1
938,938,,0
654,654,,0
943,943,,0
940,940,,0
942,942,,0
398,398,,0
